Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDQ49,2300.55090891,OUT018
FDI52,3165.10405638,OUT027
FDZ44,3148.96443816,OUT027
FDZ09,2317.59416105,OUT018
FDY03,1922.5084843,OUT049
NCG42,2002.90355031,OUT017
DRI13,5483.83818913,OUT027
FDQ32,1999.15497524,OUT013
FDW16,1438.28204562,OUT035
FDU27,795.856540311,OUT046
FDR28,413.722889894,OUT010
FDQ49,356.676641803,OUT010
FDS37,1933.77678024,OUT046
FDW26,3358.59716811,OUT018
FDX12,3437.73809792,OUT018
NCP06,2456.50068136,OUT013
FDW45,353.172921021,OUT010
NCN30,1624.92342976,OUT049
FDN24,816.22521575,OUT049
NCL41,1263.81000933,OUT027
FDR02,275.113236163,OUT019
FDD09,431.943694558,OUT010
FDS33,213.645476339,OUT010
FDU22,1873.60483782,OUT045
FDI53,2504.15523646,OUT013
DRH01,2806.3387585,OUT049
FDX32,2245.97481234,OUT013
NCP30,537.059397852,OUT018
FDB60,3291.73472146,OUT045
FDB14,1276.42652977,OUT049
NCP02,915.777510231,OUT035
FDJ10,2223.24802558,OUT017
FDG34,1698.67817821,OUT046
NCB18,1431.52412979,OUT017
FDM16,1107.78856669,OUT049
FDW25,1245.74053711,OUT018
FDB35,220.687305192,OUT010
DRN11,2250.79235277,OUT013
FDF41,580.600239542,OUT019
FDH16,1417.11387494,OUT045
NCQ50,3355.30890077,OUT018
DRH23,826.592170834,OUT018
DRJ37,2326.70812381,OUT013
DRJ24,5279.20790189,OUT027
FDY16,3287.47643022,OUT035
FDQ27,1809.86084827,OUT045
FDZ33,2494.69593276,OUT045
FDF29,1901.95262612,OUT045
FDA08,2370.78335085,OUT049
FDG31,1110.04016529,OUT046
FDE34,477.311690581,OUT019
NCR30,1399.46776722,OUT027
FDV33,4066.12896665,OUT035
DRZ24,1807.38234758,OUT018
NCL54,2649.0445899,OUT035
FDR12,2816.9510794,OUT049
NCC54,3559.15511919,OUT046
DRN59,805.460101414,OUT013
FDX50,275.286327433,OUT019
FDV31,5158.63737521,OUT027
NCA29,4203.97224015,OUT027
FDW60,3162.30849299,OUT049
FDX08,3298.25938978,OUT017
DRD49,3548.03867596,OUT013
FDD33,3560.08587039,OUT046
FDW35,569.812543127,OUT013
FDJ36,1809.18814646,OUT017
FDV51,2656.10314414,OUT035
FDW36,1650.07004585,OUT046
FDH35,2491.9459552,OUT046
NCS30,3170.09663311,OUT027
FDN49,654.616595601,OUT017
FDL08,3437.24517601,OUT018
FDI09,3576.8725886,OUT013
FDP19,1817.90280483,OUT018
FDU21,104.187824192,OUT010
NCP41,1673.22314286,OUT045
FDY10,1898.03989105,OUT013
FDP12,531.653531933,OUT018
NCN26,1934.1367021,OUT049
FDK44,3134.97352719,OUT013
FDC28,1518.86436006,OUT049
FDJ41,6150.07952929,OUT027
NCT29,1990.02244172,OUT035
NCH42,580.999372268,OUT019
FDU60,2342.51521865,OUT018
FDS02,3301.06132454,OUT045
FDC51,2196.21079388,OUT046
FDU03,3283.5453511,OUT013
FDX39,4141.21032836,OUT045
NCY05,104.187824192,OUT010
NCL06,6149.90996653,OUT027
FDD32,1284.33842352,OUT035
NCN41,1878.82047594,OUT045
NCX53,2261.01194975,OUT049
FDU57,353.393400723,OUT019
FDQ23,1595.1179068,OUT046
FDQ52,4313.0326891,OUT045
FDC14,660.68800534,OUT045
FDY09,2823.04380553,OUT035
FDQ28,2613.3450452,OUT045
FDV25,4166.19306441,OUT046
FDJ07,1933.29228628,OUT035
DRB25,1594.04197837,OUT049
FDK52,580.978935535,OUT019
FDY52,1383.96663273,OUT027
FDB28,3306.68353203,OUT046
FDT36,586.896383141,OUT035
FDV25,4189.79674393,OUT017
NCN07,3170.15264522,OUT027
FDC57,2966.02188532,OUT017
FDQ03,3410.79545435,OUT018
FDU23,2949.9848209,OUT017
NCX41,3863.77860388,OUT035
NCD06,786.482700469,OUT035
FDW08,1518.47175917,OUT045
NCU29,2591.73191462,OUT017
NCE06,2500.28559439,OUT013
FDV52,277.814882063,OUT010
FDB02,3158.59027834,OUT017
NCR18,663.95652316,OUT045
FDK16,1548.75133223,OUT049
NCQ29,581.056466253,OUT010
FDZ01,228.42559898,OUT019
FDW27,2514.06618816,OUT035
FDD17,3410.72861971,OUT018
FDW39,2649.34753224,OUT013
DRH59,1101.86227593,OUT045
FDS52,1591.52855278,OUT013
FDU40,5455.71261559,OUT027
NCF54,2795.91108514,OUT013
FDH46,1671.40590839,OUT045
NCP14,1807.86182343,OUT049
FDH50,3314.72084721,OUT049
DRF15,354.398143286,OUT010
FDV27,2530.97080679,OUT027
NCJ06,2181.92382073,OUT049
FDN02,3295.63084912,OUT018
FDQ51,792.317850516,OUT049
FDQ07,3735.56303169,OUT017
FDS45,1670.02734863,OUT049
NCJ06,1883.21667069,OUT045
FDD36,1934.98501505,OUT035
FDY25,3299.79323674,OUT045
FDU52,2339.93004603,OUT046
DRK47,3768.73977227,OUT017
NCL30,1996.50623471,OUT017
FDN22,4032.07135759,OUT035
NCF30,3167.7158692,OUT027
FDK03,4056.52810156,OUT035
FDT45,915.537396547,OUT017
NCC54,6149.90996653,OUT027
FDP08,2906.22386692,OUT018
FDU44,2630.64015641,OUT046
DRG39,905.530032295,OUT035
FDU32,2193.21087901,OUT049
FDY27,3174.67811518,OUT049
NCP54,2179.76792461,OUT013
NCZ41,2003.23169436,OUT049
DRL49,2271.52181285,OUT013
FDI05,1220.03553308,OUT018
FDY56,3695.50811225,OUT045
DRC13,2179.18609723,OUT013
NCV29,3179.5111589,OUT017
FDR24,1434.18318576,OUT049
FDZ34,2933.76851615,OUT018
FDP37,2100.2531917,OUT035
FDX08,5178.85739788,OUT027
FDS57,1899.6108133,OUT045
NCG18,1669.32908335,OUT049
FDK25,2364.8137721,OUT018
FDH53,1228.12776786,OUT049
DRI59,3389.28493645,OUT018
FDA52,2809.58647409,OUT046
FDT20,104.187824192,OUT010
FDE36,412.877376401,OUT019
FDI24,2807.63641277,OUT017
FDB28,2943.01957768,OUT018
FDV11,2651.74446679,OUT017
FDP01,2471.89373953,OUT046
FDD34,4153.03699401,OUT027
FDJ50,1301.5193987,OUT027
FDZ44,1929.65336867,OUT013
DRO59,1124.97804976,OUT035
DRB48,659.861539572,OUT045
FDR21,2771.61727863,OUT018
NCE42,581.455233093,OUT010
FDO23,1336.00702835,OUT046
NCE30,3347.38359726,OUT018
FDQ22,586.943809329,OUT035
FDY01,1852.31099025,OUT045
FDS08,2814.43105568,OUT017
FDG28,3438.35711598,OUT018
FDQ51,788.741305959,OUT018
FDB05,4304.82228305,OUT017
FDO56,1928.65646407,OUT049
FDE02,1272.20588526,OUT018
FDN45,3737.72871979,OUT017
FDS09,747.936848252,OUT013
NCA54,3257.18097499,OUT018
FDP09,580.558599955,OUT010
FDC53,1570.66875803,OUT045
NCM55,2988.63518324,OUT017
FDL09,2362.32205907,OUT018
FDA11,224.337097975,OUT019
FDA50,1551.29560247,OUT045
FDC23,3163.15541681,OUT017
FDE22,2364.00661434,OUT049
FDD23,3311.38017346,OUT046
NCA29,3156.46778022,OUT049
FDK38,2336.19129724,OUT046
DRC13,2185.23475531,OUT046
NCP43,2832.07957464,OUT049
FDX28,1492.23200021,OUT049
FDF08,1254.92463926,OUT049
FDZ33,2491.68813771,OUT046
FDD10,2657.25733966,OUT049
FDO58,2492.8470281,OUT017
FDI50,3933.61186553,OUT017
FDO58,2500.63672538,OUT045
FDX08,3281.03246273,OUT013
NCK17,104.187824192,OUT010
FDF39,4082.50642174,OUT035
FDU45,276.260328662,OUT010
NCJ18,1784.75561438,OUT018
DRC27,581.076478621,OUT019
DRC25,1412.90425281,OUT035
